industry,companies,employees,revenues,assets,profits,debt
Media,187388,22954436,4695164573155,505785493810.0,6666281000.0,129008060000.0
Professional Services,124679,33986302,4985200416330,1047374491026.0,18799938000.0,529294820000.0
Diversified Consumer Services,102768,54579440,11225937395623,145466853964.0,1689729300.0,45690372000.0
Health Care Providers & Services,94573,38524614,8011523841752,2021051672348.0,38475480000.0,626624040000.0
Construction & Engineering,86636,61752524,7779748890284,2787003627100.0,46651890000.0,798813600000.0
Financial Services,84284,14181975,1953315923188,8463106322596.0,73485600000.0,2001603700000.0
Commercial Services & Supplies,83900,31229715,4352286015224,571912444089.0,7875168300.0,216262460000.0
IT Services,74776,21681009,3187014729999,2471104218545.0,61068755000.0,439669500000.0
"Hotels, Restaurants & Leisure",69737,31294170,3727962571568,1234567840142.0,12346911000.0,659667800000.0
Software,68655,9965392,1886173608854,5826582295335.0,-774835400000.0,525776360000.0
Machinery,52003,25575335,4759248843416,13142548174397.0,1004090700000.0,745669000000.0
Entertainment,45623,6126064,1331685156961,762772838776.0,22429241000.0,201250360000.0
"Textiles, Apparel & Luxury Goods",45619,21049998,3389775335908,1186812022494.0,64241775000.0,363460800000.0
Capital Markets,45452,4971331,5431763272155,18268765153169.0,100298780000.0,10564235000000.0
Diversified Telecommunication Services,43418,10185505,3074954921989,4722276337406.0,112183140000.0,1920042300000.0
Real Estate Management & Development,40426,6875257,2407206719986,5120804397843.0,-50024706000.0,1620344000000.0
Food Products,31477,31058350,4311109481025,2075221479751.0,43629340000.0,676242800000.0
Air Freight & Logistics,25354,14769018,2809098801652,573355046754.0,33802590000.0,145632280000.0
"Electronic Equipment, Instruments & Components",23332,12669944,2400181077932,1040559838993.0,25563623000.0,232722890000.0
Household Durables,19846,7546972,1578128836592,432676574309.0,19431234000.0,106513270000.0
Insurance,18561,10839396,6948802953023,18760760720971.0,138599730000.0,1070490200000.0
Independent Power and Renewable Electricity Producers,17898,5819025,3086951962151,1810608572415.0,30037680000.0,704498900000.0
Leisure Products,17649,6372825,890095840295,181095028935.0,3828175400.0,50891930000.0
Construction Materials,15966,6283561,1441886042669,727354342115.0,22191948000.0,207853670000.0
Distributors,14190,4526285,614420642315,,,
"Oil, Gas & Consumable Fuels",13067,6497001,7368265516189,7299615248870.0,359424260000.0,1590155400000.0
Health Care Equipment & Supplies,12992,4471142,747329711105,920010918874.0,18711419000.0,233971840000.0
Pharmaceuticals,12275,7003576,2225372222843,2595175088773.0,90952560000.0,818083600000.0
Personal Care Products,11727,5269880,1578630749792,575671743449.0,43017708000.0,163854160000.0
Beverages,11521,5601990,1648513483567,1119817049787.0,43265106000.0,361534130000.0
Biotechnology,9074,1439144,244737354799,519637077802.0,-22197220000.0,104078590000.0
Passenger Airlines,8229,7847895,2328511007733,989847269402.0,15203086000.0,499594040000.0
Chemicals,7207,6371676,2412337123438,2194662127388.0,42799727000.0,687198700000.0
Metals & Mining,7196,6632947,2822239908872,4223737614605.0,108461744000.0,792244100000.0
Interactive Media & Services,7005,1745273,944566742184,1366194092114.0,68118286000.0,195530850000.0
Banks,6562,18792379,4562900698915,131374751890619.0,625749800000.0,24732804000000.0
Marine Transportation,6437,2435581,745669825235,644884579384.0,15504580000.0,128132810000.0
Aerospace & Defense,5547,4954708,1498783781757,1393993159446.0,6124355600.0,349925050000.0
"Technology Hardware, Storage & Peripherals",5480,2430040,1731536471129,1787993667241.0,26365284000.0,309492320000.0
Communications Equipment,3978,1094951,402680657990,463033056268.0,15167350000.0,130501200000.0
Containers & Packaging,3834,2015986,476336871048,294411961279.0,10742808000.0,112415230000.0
Semiconductors & Semiconductor Equipment,2517,2856464,1108814320390,1716866926987.0,133554770000.0,380547530000.0
Wireless Telecommunication Services,2306,246951,44432128756,,,
Industrial REITs,1627,167658,106540177655,249434522105.0,5780099000.0,99517840000.0
Paper & Forest Products,1297,1072089,310140617513,313732762349.0,5152401000.0,116299055000.0
Consumer Staples Distribution & Retail,585,5138286,1650215790310,818888909262.0,8038501400.0,336531550000.0
Automobile Components,549,4310250,1098861309536,1131511709568.0,30400400000.0,254525570000.0
Electrical Equipment,410,1650685,483256704395,630929194525.0,23870510000.0,141776580000.0
Industrial Conglomerates,361,3774557,1828649860379,4696995719723.0,69137560000.0,1280875600000.0
Tobacco,342,444672,206005848328,375350941757.0,15936590000.0,148058910000.0
Building Products,328,1385032,608505897982,693496957845.0,26420650000.0,184185550000.0
Specialty Retail,287,2160605,897949506852,601992581163.0,36635947000.0,298374920000.0
Diversified REITs,261,204170,156084210561,1024045395545.0,8840346000.0,423168200000.0
Broadline Retail,251,7117886,2966865894141,2447103180922.0,44877623000.0,620982000000.0
Health Care Technology,248,970717,243107994927,507473441536.0,10342867000.0,162849490000.0
Transportation Infrastructure,215,1357454,447732423456,1118032845377.0,26270929000.0,489811080000.0
Trading Companies & Distributors,191,473552,498182705655,311684618780.0,8684192000.0,80556600000.0
Automobiles,181,5873866,3350257979294,5006616836530.0,161740720000.0,1918551500000.0
Energy Equipment & Services,179,571467,256714496839,344494633216.0,3886905900.0,96533550000.0
Electric Utilities,150,778713,766354064223,3029011001195.0,40625360000.0,1340937300000.0
Gas Utilities,89,388398,262110118392,476422975159.0,14797165000.0,205890750000.0
Retail REITs,73,16863,44547539362,502102156820.0,4033920800.0,223430260000.0
Office REITs,64,16349,26426126973,313272476602.0,-1741472000.0,143081910000.0
Ground Transportation,58,638400,102931061173,184343707000.0,4734817300.0,49438433000.0
Multi-Utilities,56,519335,606018870973,1728359596160.0,32442348000.0,561218600000.0
Water Utilities,56,228111,46504925211,227391023687.0,3774720300.0,104007930000.0
"Mortgage Real Estate Investment 
 Trusts (REITs)",53,7011,8341147015,500243271979.0,1293257700.0,345595120000.0
Residential REITs,47,31018,29522401285,209498206797.0,2365018600.0,93034140000.0
Hotel & Resort REITs,29,2067,23744708170,85984337160.0,240675140.0,44597367000.0
Health Care REITs,26,15258,18626365368,158531369150.0,151984060.0,73752320000.0
Specialized REITs,25,73463,51492520863,224917053357.0,3089621000.0,161261900000.0
